윤하 (YOUNHA),사건의 지평선
(여자)아이들,MY BAG
LE SSERAFIM (르세라핌),FEARLESS
NewJeans,Cookie
지코 (ZICO),새삥 (Prod. ZICO) (Feat. 호미들)
IVE (아이브),ELEVEN
Crush,Rush Hour (Feat. j-hope of BTS)
테이,Monologue
BLACKPINK,Pink Venom
임영웅,사랑해요 그대를
BE'O (비오),LOVE me
10CM,그라데이션
강민경 (다비치),우린 그렇게 사랑해서
WSG워너비 (가야G),그때 그 순간 그대로 (그그그)
#안녕,해요 (2022)
멜로망스,사랑인가 봐
주호,내가 아니라도
WSG워너비 (4FIRE),보고싶었어
BIG Naughty (서동현),정이라고 하자 (Feat. 10CM)
성시경,너의 모든 순간
경서,밤하늘의 별을(2020)
임한별,떠나보낼 준비해 둘걸 그랬어
싸이 (PSY),That That (prod. & feat. SUGA of BTS)
소녀시대 (GIRLS' GENERATION),FOREVER 1
김민석 (멜로망스),취중고백
Charlie Puth,Left and Right (Feat. Jung Kook of BTS)
경서예지,다정히 내 이름을 부르면
김승민,내 기쁨은 너가 벤틀리를 끄는 거야
윤미래,LAW (Prod. Czaer)
진,The Astronaut
방탄소년단,Permission to Dance
한동근,새벽에 걸려온 너의 전화는
ITZY (있지),SNEAKERS
이영현,그래서 그대는
볼빨간사춘기,Love story
폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
aespa,Next Level
잔나비,주저하는 연인들을 위해
탑현,사랑한다고 말해줘
하이라이트 (Highlight),Alone
21학번,스티커 사진
BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
The Kid LAROI,STAY
나연 (TWICE),POP!
김호중,주마등
김나영,못해
보라미유,통화연결음
이무진,신호등
백아,첫사랑
아이유,드라마
Red Velvet (레드벨벳),Feel My Rhythm
이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈)
태연 (TAEYEON),INVU
Justin Bieber,Off My Face
NMIXX,DICE
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워
sokodomo,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)"
박재범,GANADARA (Feat. 아이유)
OneRepublic,I Ain't Worried
TWICE (트와이스),Talk that Talk
주시크 (Joosiq),너를 생각해
권진아,진심이었던 사람만 바보가 돼
